99,6,3,4
98,5,4,3
97,4,5,2
96,3,6,1
95,2,7,2
94,1,8,3
93,2,9,4
92,3,10,5
91,4,11,6
90,5,12,5
89,6,13,4
88,5,14,3
87,4,15,2
86,3,16,1
85,2,17,2
84,1,18,3
83,2,19,4
82,3,20,5
81,4,21,6
80,5,22,5
79,6,23,4
78,5,24,3
77,4,25,2
76,3,26,1
75,2,27,2
74,1,28,3
73,2,29,4
72,3,30,5
71,4,31,6
70,5,32,5
69,6,33,4
68,5,34,3
67,4,35,2
66,3,36,1
65,2,37,2
64,1,38,3
63,2,39,4
62,3,40,5
61,4,41,6
60,5,42,5
59,6,43,4
58,5,44,3
57,4,45,2
56,3,46,1
55,2,47,2
54,1,48,3
53,2,49,4
52,3,50,5
51,4,51,6
50,5,52,5
49,6,53,4
48,5,54,3
47,4,55,2
46,3,56,1
45,2,57,2
44,1,58,3
43,2,59,4
42,3,60,5
41,4,61,6
40,5,62,5
39,6,63,4
38,5,64,3
37,4,65,2
36,3,66,1
35,2,67,2
34,1,68,3
33,2,69,4
32,3,70,5
31,4,71,6
30,5,72,5
29,6,73,4
28,5,74,3
27,4,75,2
26,3,76,1
25,2,77,2
24,1,78,3
23,2,79,4
22,3,80,5
21,4,81,6
20,5,82,5
19,6,83,4
18,5,84,3
17,4,85,2
16,3,86,1
15,2,87,2
14,1,88,3
13,2,89,4
12,3,90,5
11,4,91,6
10,5,92,5
9,6,93,4
8,5,94,3
7,4,95,2
6,3,96,1
5,2,97,2
4,1,98,3
3,2,99,4
2,3,100,5
1,4,101,6
2,5,102,5
3,6,103,4
4,5,104,3
5,4,105,2
6,3,106,1
7,2,107,2
8,1,108,3
9,2,109,4
10,3,110,5
11,4,111,6
12,5,112,5
13,6,113,4
14,5,114,3
15,4,115,2
16,3,116,1
17,2,117,2
18,1,118,3
19,2,119,4
20,3,120,5
21,4,121,6
22,5,122,5
23,6,123,4
24,5,124,3
25,4,125,2
26,3,126,1
27,2,127,2
28,1,128,3
29,2,129,4
30,3,130,5
31,4,131,6
32,5,132,5
33,6,133,4
34,5,134,3
35,4,135,2
36,3,136,1
37,2,137,2
